Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
A mixed-methods feasibility study to assess the acceptability and applicability of immersive virtual reality sepsis game as an adjunct to nursing education,"Adhikari, R.; Kydonaki, C.; Lawrie, J.; O'Reilly, M.; Ballantyne, B.; Whitehorn, J.; Paterson, R.","BACKGROUND: Virtual Reality (VR) simulation has been a topic of interest in recent years as an innovative strategy for healthcare education. Although there are a handful of studies evaluating VR simulation on knowledge, motivation, and satisfaction; there is a paucity of evidence to evaluate the effectiveness, acceptability and usability of 'Immersive' VR (IVR) simulation in nursing students. OBJECTIVE(S): A two-stage sequential mixed-methods feasibility study underpinned by gaming theory investigated; (1) the impact of IVR sepsis game on pre-registration nurses' self-efficacy and, (2) their perceptions of the acceptability and applicability of IVR sepsis game as an adjunct to nursing simulation education. METHOD(S): The IVR simulation intervention was designed in collaboration with serious game specialists. Stage one collated pre and post-intervention self-efficacy scores with 19 pre-registration nurses using the validated instrument, Nursing Anxiety and Self-Confidence with Clinical Decision Making (NASC-CDM©) scale. Stage two used a descriptive qualitative approach to explore student nurses' perceptions of the game. RESULT(S): In stage one, pre and post-test scores revealed significant increase in self-confidence (26.1%, P < 0.001) and a significant decrease in anxiety (23.4%, P < 0.001). Stage two qualitative responses revealed four over-arching themes: acceptability, applicability, areas of improvement of IVR sepsis game and limitations of IVR game. CONCLUSION(S): IVR simulation show promise as an adjunct for nurse simulation and it appears to increase self-efficacy in pre-registration nursing students. Further testing with a sufficiently powered sample size will ratify findings and provide effective solutions to distance and online learning. Copyright © 2021 Elsevier Ltd. All rights reserved.",2021,1-Aug,Nurse education today,103,,104944,635134371,,,#27,Adhikari 2021,,
The relevance of low-fidelity virtual reality simulators compared with other learning methods in basic endovascular skills training,"Aeckersberg, G.; Gkremoutis, A.; Schmitz-Rixen, T.; Kaiser, E.","Objective: The use of simulators has shown a profound impact on the development of both training and assessment of endovascular skills. Furthermore, there is evidence that simulator training is of great benefit for novice trainees. However, there are only a few simulators available geared specifically toward novice learners. Whereas research suggests that low-fidelity simulators could fill this gap, there are insufficient data available to determine the role of low-fidelity simulators in the training of endovascular skills. Method(s): Medical students in their fifth year (N = 50) with no previous endovascular experience were randomized into three groups: conventional learning through a video podcast (group V; n = 12), low-fidelity simulation training with tablet-paired touch-gesture navigation (group A; n = 12), and low-fidelity simulation training with tablet-paired physical endovascular tool navigation (group S; n = 26). Within their respective groups, all students attended a 1-day class on basic endovascular skills. Questionnaire items for self-assessment before and after the class and assessment after the class of the participant's practical skills on a high-fidelity simulator were analyzed across all three groups as well as for each group separately using nonparametric tests. Result(s): All 50 participants completed the training. Participants in group S showed a significantly increased interest in working in interventional cardiology (P =.02) and vascular surgery (P =.03) after the class. Evaluation of the questionnaire items after the class showed that participants in group S rated their practical skills significantly higher after the class compared with those in group V and group A (P <.001 for pairwise comparison of all three groups, respectively), creating a significant trend across the three groups. However, analysis of the practical skills assessment for all three groups showed a significant difference between the groups only for choosing a guidewire (P =.045) and a significant trend in performance across the groups for choosing a guidewire and for positioning the guidewire in the vessel (P =.02 and P =.05, respectively). All other steps of the skills assessment showed no significant differences or a trend across the groups. Conclusion(s): Low-fidelity simulation training, particularly with physical endovascular tool navigation, led to increased motivation in novice trainees. Whereas simulator training was associated with increased confidence of trainees in their skills, assessment of their practical skills showed no actual improvement in this study. Overall, low-fidelity simulation has the potential to benefit novice trainees, but possible risks of simulation training should be further evaluated. Copyright © 2018 Society for Vascular Surgery",2019,January,Journal of Vascular Surgery,69(1),,227-235,2001376068,,,#32,Aeckersberg 2019,,Media Comparison
Performance of robotic simulated skills tasks is positively associated with clinical robotic surgical performance,"Aghazadeh, M. A.; Mercado, M. A.; Pan, M. M.; Miles, B. J.; Goh, A. C.","Objective: To compare user performance of four fundamental inanimate robotic skills tasks (FIRST) as well as eight da Vinci Skills Simulator (dVSS) virtual reality tasks with intra-operative performance (concurrent validity) during robot-assisted radical prostatectomy (RARP) and to show that a positive correlation exists between simulation and intra-operative performance. Material(s) and Method(s): A total of 21 urological surgeons with varying robotic experience were enrolled. Demographics were captured using a standardized questionnaire. User performance was assessed concurrently in simulated (FIRST exercises and dVSS tasks) and clinical environments (endopelvic dissection during RARP). Intra-operative robotic clinical performance was scored using the previously validated six-metric Global Evaluative Assessment of Robotic Skills (GEARS) tool. The relationship between simulator and clinical performance was evaluated using Spearman's rank correlation. Result(s): Performance was assessed in 17 trainees and four expert robotic surgeons with a median (range) number of previous robotic cases (as primary surgeon) of 0 (0-55) and 117 (58-600), respectively (P = 0.001). Collectively, the overall FIRST (rho = 0.833, P < 0.001) and dVSS (rho = 0.805, P < 0.001) simulation scores correlated highly with GEARS performance score. Each individual FIRST and dVSS task score also demonstrated a significant correlation with intra-operative performance, with the exception of Energy Switcher 1 exercise (P = 0.063). Conclusion(s): This is the first study to show a significant relationship between simulated robotic performance and robotic clinical performance. Findings support implementation of these robotic training tools in a standardized robotic training curriculum. Copyright © 2016 BJU International.",2016,,BJU International.,,,,610567758,,,#43,Aghazadeh 2016,,
dV-Trainer vs. da Vinci Simulator: Comparison of Virtual Reality Platforms for Robotic Surgery,"Ahmad, S. B.; Rice, M.; Chang, C.; Zureikat, A. H.; Zeh, H. J.; Hogg, M. E.","Background: A virtual reality (VR) curriculum performed on the da Vinci Simulation System (DVSS) was previously shown to be effective in training fellows. The dV-Trainer is a separate platform with similar features to the da Vinci console, but its efficacy and utility versus the DVSS simulator are not well known. Material(s) and Method(s): A mastery-based VR curriculum was completed by surgical fellows on the DVSS (2014-2016) and on the dV-Trainer (2016-2018) at a large academic center. Pre-test/post-test scores were used to evaluate performance between the two groups. Data was collected prospectively. Result(s): Forty-six fellows enrolled in the curriculum: surgical oncology (n=31), hepatobiliary (n=5), head/neck (n=4), endocrine (n=2), cardiothoracic (n=2), gynecology (n=1) and transplant surgery (n=1). Twenty-four used the DVSS and twenty-two used the dV-Trainer. Compared to the DVSS, the dV-Trainer was associated with lower scores on 2 of 3 VR modules in the pre-test (P=0.027, P<0.001, respectively) and post-test (P=0.021, P<0.001, respectively). Fellows in the dV-Trainer era scored lower on inanimate drills as well. Average VR curriculum score was lower on the dV-Trainer (71.3% vs 83.34%, P<0.001). dV-Trainer users spent more time completing the pre-test and post-test; however, overall simulator time to complete the curriculum was not significantly different (297 vs 231 minutes, P=0.142). Both groups showed improvement in scores after completion of the VR curriculum. Conclusion(s): The dV-Trainer simulator allows for more usability outside the operating room to complete VR modules; however, the DVSS simulator group outperformed the dV-Trainer group on the post-test. Copyright © 2021 Elsevier Inc.",2021,November,Journal of Surgical Research,267,,695-704,2013843543,,,#51,Ahmad 2021,,
Effectiveness of virtual reality training in orthopaedic surgery,"Aim, F.; Lonjon, G.; Hannouche, D.; Nizard, R.","Purpose The purpose of this study was to conduct a systematic review to determine the effectiveness of virtual reality (VR) training in orthopaedic surgery. Methods A comprehensive systematic review was performed of articles of VR training in orthopaedic surgery published up to November 2014 from MEDLINE, EMBASE, and the Cochrane Central Register of Controlled Trials databases. Results We included 10 relevant trials of 91 identified articles, which all reported on training in arthroscopic surgery (shoulder, n = 5; knee, n = 4; undefined, n = 1). A total of 303 participants were involved. Assessment after training was made on a simulator in 9 of the 10 studies, and in one study it took place in the operating room (OR) on a real patient. A total of 32 different outcomes were extracted; 29 of them were about skills assessment. None involved a patient-related outcome. One study focused on anatomic learning, and the other evaluated technical task performance before and after training on a VR simulator. Five studies established construct validity. Three studies reported a statistically significant improvement in technical skills after training on a VR simulator. Conclusions VR training leads to an improvement of technical skills in orthopaedic surgery. Before its widespread use, additional trials are needed to clarify the transfer of VR training to the OR. Level of Evidence Systematic review of Level I through Level IV studies. Copyright © 2016 Arthroscopy Association of North America.",2016,,Arthroscopy - Journal of Arthroscopic and Related Surgery,32(1),,224-232,,,,#63,Aim 2016,Jeffrey Jacobson (2022-10-23 09:27:17)(Screen): duplicate; ,
The transferability of generic minimally invasive surgical skills: Is there crossover of core skills between laparoscopy and arthroscopy?,"Akhtar, K.; Sugand, K.; Wijendra, A.; Sarvesvaran, M.; Sperrin, M.; Standfield, N.; Cobb, J.; Gupte, C.","Objective The primary objective was observing transferability of minimally invasive surgical skills between virtual reality simulators for laparoscopy and arthroscopy. Secondary objectives were to assess face validity and acceptability. Design Prospective single-blinded crossover randomized controlled trial. Setting MSk Laboratory, Imperial College London. Participants Student doctors naive to simulation and minimally invasive techniques. Methods A total of 72 medical students were randomized into 4 groups (2 control groups and 2 training groups), and tested on haptic virtual reality simulators. Group 1 (control; n = 16) performed a partial laparoscopic cholecystectomy and Group 2 (control; n = 16) performed a diagnostic knee arthroscopy. Both groups then repeated the same task a week later. Group 3 (training; n = 20) completed a partial laparoscopic cholecystectomy, followed by an arthroscopic training program, and repeated the laparoscopic cholecystectomy a week later. Group 4 (training; n = 20) performed a diagnostic knee arthroscopy, followed by a laparoscopic training program, and then repeated the initial arthroscopic test a week later. The time taken, instrument path length, and speed were recorded for each participant and analyzed. Results Time taken for task: All 4 cohorts were significantly quicker on their second attempt but the 2 training groups outperformed the 2 control groups, with the laparoscopy-trained group improving the most (p < 0.05). Economy of movement: All cohorts had a significant improvement in left hand path length (p < 0.01) but there was no difference for right hand path length. Left hand speed: Only the 2 training groups showed significant improvement with the laparoscopy-trained group improving the most (p < 0.05). Right hand speed: All cohorts improved significantly with the laparoscopy-trained group improving the most (p < 0.05). Face validity and acceptability were established for both simulators. Conclusion This study showed that minimally invasive surgical skills learnt on a laparoscopy simulator are transferable to arthroscopy and vice versa, with greater effect after training on the laparoscopy simulator. Copyright © 2015 Association of Program Directors in Surgery.",2016,1-Mar,Journal of Surgical Education,73(2),,329-338,608548386,,,#73,Akhtar 2016,,
Validation of a virtual reality simulator for the use of transvaginal ultrasonography in gynaecology and early pregnancy,"Al-Memar, M.; Saso, S.; Bobdiwala, S.; Ameye, L.; Guha, S.; Joash, K.; Stalder, C.; Sur, S.; Moorthy, K.; Timmerman, D.; Bourne, T.","Introduction: The objective was to validate a virtual reality simulation ultrasound model as a tool for training in the use of transvaginal ultrasonography in gynaecology and early pregnancy. Method(s): Three separate groups consisting of novice and intermediate level residents as well as expert ultrasound examiners were recruited to the study. All were asked to answer a questionnaire regarding demographic data and ultrasound experience. They subsequently completed two modules: basic gynaecology and early pregnancy, followed by corresponding assessments using a high-fidelity simulator (Scantrainer; MedaphorTM, Cardiff, UK). Finally, the expert group completed an additional questionnaire about various elements of the simulator using a 5-point Likert scale. Result(s): Each group consisted of eight participants. Overall, the participants agreed that simulation played a role in training (Novices: 75% (n = 6); Intermediates: 100% (n = 8); Experts: 75% (n = 6)). For the degree of realism of the target objects in the gynaecology and early pregnancy module environments compared to a real-patient environment, the simulator was rated satisfactory or very satisfactory by 88% (n = 7) and 75% (n = 6) of experts, respectively. All experts rated the overall usefulness of the content of the simulator for learning fundamental ultrasound technical skills compared to current training methods to be at least satisfactory. When reviewing the assessment scores, experts scored higher than non-experts in gynaecology (P = 0.002) and early pregnancy modules (P = 0.03). Discussion(s): Face, content and construct validity were demonstrated by the virtual reality ultrasound simulator, suggesting it may be an effective method for training ultrasound skills in gynaecology and early pregnancy to non-expert residents. Copyright © 2017 Australasian Society for Ultrasound in Medicine",2017,,Australasian Journal of Ultrasound in Medicine,20(3),,97-105,620589002,,,#84,Al-Memar 2017,,
Feedback and motor skill acquisition using a haptic dental simulator,"Al-Saud, L. M.; Mushtaq, F.; Allsop, M. J.; Culmer, P. C.; Mirghani, I.; Yates, E.; Keeling, A.; Mon-Williams, M. A.; Manogue, M.","AIM: To investigate the effect of qualitatively different types of pedagogical feedback (FB) on the training, transfer and retention of basic manual dexterity dental skills using a virtual reality (VR) haptic dental simulator. METHODS: Sixty-three participants (M = 22.7 years; SD = 3.4 years), with no previous dental training, were randomly allocated to one of three groups (n = 21 each). Group 1 received device-only feedback during the training phase, that is the visual display of the simulator (DFB); Group 2 received verbal feedback from a qualified dental instructor (IFB); and Group 3 received a combination of instructor and device feedback (IDFB). Participants completed four tasks during which feedback was given according to group allocation as well as two skills transfer tests. Skill retention was examined immediately after training, at 1 week and at 1 month post-test. RESULTS: Statistically significant differences were found between the groups in overall performance (P < 0.001) and error (P = 0.006). Post hoc comparisons revealed the IDFB group produced substantially better performance and fewer errors in comparison with DFB and IFB training. This difference translated to improved performance in skill retention and generalisation of knowledge to novel tasks. CONCLUSION: These data indicate that the acquisition and retention of basic dental motor skills in novice trainees is best optimised through a combination of instructor and visual display (VR)-driven feedback. The results have implications for the utility and implementation of VR haptic technology in dental education. Copyright © 2016 John Wiley & Sons A/S. Published by John Wiley & Sons Ltd.",2017,1-Nov,European journal of dental education : official journal of the Association for Dental Education in Europe,21(4),,240-247,623136350,,,#85,Al-Saud 2017,,
Drilling into the functional significance of stereopsis: the impact of stereoscopic information on surgical performance,"Al-Saud, L. M.; Mushtaq, F.; Mirghani, I.; Balkhoyor, A.; Keeling, A.; Manogue, M.; Mon-Williams, M. A.","PURPOSE: One suggested advantage of human binocular vision is the facilitation of sophisticated motor control behaviours via stereopsis - but little empirical evidence exists to support this suggestion. We examined the functional significance of stereopsis by exploring whether stereopsis is used to perform a highly skilled real-world motor task essential for the occupational practice of dentistry. METHODS: We used a high fidelity virtual reality simulator to study how dentists' performance is affected by the removal of horizontal retinal image disparities under direct and indirect (mirror) observation. Thirteen qualified dentists performed a total of four different dental tasks under non-stereoscopic and stereoscopic vision conditions, with two levels of task complexity (direct and indirect observation) using a virtual reality dental simulator. RESULTS: Depth related errors were significantly higher under non-stereoscopic viewing but lateral errors did not differ between conditions. Indirect observation led to participants drilling less of the target area compared to direct viewing, but this did not interact with the stereopsis manipulation. CONCLUSIONS: The data confirm that dental practitioners use stereopsis and its presence results in improved dental performance. It remains to be determined whether individuals with stereo-deficits can compensate adequately. Nevertheless, these findings suggest an important role for stereopsis within at least one occupation and justify the design of simulators with 3D displays. Copyright © 2017 The Authors. Ophthalmic and Physiological Optics published by John Wiley & Sons Ltd on behalf of College of Optometrists.",2017,1-Jul,Ophthalmic & physiological optics : the journal of the British College of Ophthalmic Opticians (Optometrists),37(4),,498-506,618415791,,,#86,Al-Saud 2017,,
Virtual Simulation in Enhancing Procedural Training for Fluoroscopy-guided Lumbar Puncture: A Pilot Study,"Ali, S.; Qandeel, M.; Ramakrishna, R.; Yang, C. W.","Rationale and Objectives: Fluoroscopy-guided lumbar puncture (FGLP) is a basic procedural component of radiology residency and neuroradiology fellowship training. Performance of the procedure with limited experience is associated with increased patient discomfort as well as increased radiation dose, puncture attempts, and complication rate. Simulation in health care is a developing field that has potential for enhancing procedural training. We demonstrate the design and utility of a virtual reality simulator for performing FGLP. Material(s) and Method(s): An FGLP module was developed on an ImmersiveTouch platform, which digitally reproduces the procedural environment with a hologram-like projection. From computed tomography datasets of healthy adult spines, we constructed a 3-D model of the lumbar spine and overlying soft tissues. We assigned different physical characteristics to each tissue type, which the user can experience through haptic feedback while advancing a virtual spinal needle. Virtual fluoroscopy as well as 3-D images can be obtained for procedural planning and guidance. The number of puncture attempts, the distance to the target, the number of fluoroscopic shots, and the approximate radiation dose can be calculated. Preliminary data from users who participated in the simulation were obtained in a postsimulation survey. Result(s): All users found the simulation to be a realistic replication of the anatomy and procedure and would recommend to a colleague. On a scale of 1-5 (lowest to highest) rating the virtual simulator training overall, the mean score was 4.3 (range 3-5). Conclusion(s): We describe the design of a virtual reality simulator for performing FGLP and present the initial experience with this new technique. Copyright © 2018 The Association of University Radiologists",2018,February,Academic Radiology,25(2),,235-239,618659470,,,#114,Ali 2018,,
